Feature 1,Feature 2,Correlation
special_focus_status_sff,deficiency_tag_698,0.04
deficiency_tag_607,claims_quality_code_522,0.04
sprinklers_in_required_areas_partial,deficiency_tag_881,0.04
Rating Cycle 2 Total Health Score,long_stay_quality_rating_5,-0.04
deficiency_tag_867,mds_quality_code_451,0.04
ownership_for_profit_individual,mds_quality_code_408,0.04
mds_quality_code_452,deficiency_tag_679,0.04
mds_quality_code_479,deficiency_tag_554,0.04
provider_resides_in_hospital,deficiency_tag_919,-0.04
deficiency_tag_919,ownership_for_profit_llc,0.04
provider_medicaid,deficiency_tag_759,-0.04
council_resident_and_family,sprinklers_in_required_areas_partial,0.04
months_since_approval,short_stay_quality_rating_2,0.04
deficiency_tag_550,ownership_non_profit_other,-0.04
quality_rating_2,deficiency_tag_698,0.04
severity_code_B,ownership_non_profit_corporation,-0.04
quality_rating_2,severity_code_D,0.04
mds_quality_code_407,deficiency_tag_686,-0.04
deficiency_tag_697,ownership_for_profit_llc,0.04
Rating Cycle 2 Total Number of Health Deficiencies,quality_rating_4,-0.04
claims_quality_code_551,special_focus_status_sff,0.04
ownership_for_profit_corporation,provider_medicaid,-0.04
continuing_care_retirement_community,deficiency_tag_689,-0.04
ownership_government_county,Rating Cycle 3 Number of Standard Health Deficiencies,-0.04
mds_quality_code_454,ownership_government_state,0.04
quality_rating_4,deficiency_tag_625,-0.04
mds_quality_code_404,health_inspection_rating_2,0.04
mds_quality_code_404,Rating Cycle 1 Health Deficiency Score,0.04
ownership_for_profit_corporation,severity_code_J,0.04
claims_quality_code_552,Rating Cycle 3 Number of Health Revisits,0.04
deficiency_tag_610,short_stay_quality_rating_4,-0.04
severity_code_L,deficiency_tag_658,0.04
long_stay_quality_rating_1,severity_code_G,0.04
claims_quality_code_552,Rating Cycle 1 Number of Health Revisits,0.04
deficiency_tag_641,mds_quality_code_407,-0.04
severity_code_I,ownership_for_profit_partnership,0.04
provider_resides_in_hospital,deficiency_tag_698,-0.04
provider_resides_in_hospital,deficiency_tag_803,-0.04
mds_quality_code_479,dollars_per_fine_count,0.04
provider_medicare,deficiency_tag_582,-0.04
mds_quality_code_479,deficiency_tag_761,0.04
Total Amount of Fines in Dollars,ownership_non_profit_other,-0.04
Rating Cycle 1 Health Revisit Score,deficiency_tag_604,0.04
deficiency_tag_558,sprinklers_in_required_areas,-0.04
long_stay_quality_rating_2,health_inspection_rating_5,-0.04
council_resident_and_family,health_inspection_rating_4,0.04
most_recent_health_inspection_2plus_years_ago,mds_quality_code_415,-0.04
mds_quality_code_430,deficiency_tag_554,-0.04
ownership_non_profit_church,Rating Cycle 1 Total Health Score,-0.04
severity_code_K,mds_quality_code_407,-0.04
mds_quality_code_434,Rating Cycle 1 Number of Standard Health Deficiencies,0.04
severity_code_L,health_inspection_rating_2,-0.04
short_stay_quality_rating_1,deficiency_tag_644,0.04
council_resident,deficiency_tag_758,0.04
dollars_per_fine_count,short_stay_quality_rating_4,-0.04
ownership_non_profit_church,mds_quality_code_472,0.04
mds_quality_code_430,deficiency_tag_636,-0.04
provider_resides_in_hospital,deficiency_tag_759,-0.04
deficiency_tag_880,ownership_non_profit_other,-0.04
Rating Cycle 3 Total Number of Health Deficiencies,most_recent_health_inspection_2plus_years_ago,-0.04
months_since_approval,ownership_government_hospital_district,-0.04
mds_quality_code_419,mds_quality_code_409,0.04
health_inspection_rating_3,deficiency_tag_561,-0.04
mds_quality_code_406,short_stay_quality_rating_3,-0.04
deficiency_tag_625,mds_quality_code_434,0.04
ownership_for_profit_corporation,deficiency_tag_867,0.04
provider_medicare,mds_quality_code_401,0.04
deficiency_tag_908,deficiency_tag_582,0.04
deficiency_tag_582,long_stay_quality_rating_3,0.04
mds_quality_code_434,deficiency_tag_814,0.04
quality_rating_5,special_focus_status_sff,-0.04
deficiency_tag_760,mds_quality_code_406,-0.04
health_inspection_rating_2,Rating Cycle 1 Health Deficiency Score,0.04
deficiency_tag_803,severity_code_L,0.04
quality_rating_4,deficiency_tag_880,-0.04
Rating Cycle 2 Number of Standard Health Deficiencies,most_recent_health_inspection_2plus_years_ago,-0.04
mds_quality_code_479,health_inspection_rating_4,-0.04
Rating Cycle 3 Number of Standard Health Deficiencies,mds_quality_code_451,-0.04
long_stay_quality_rating_5,deficiency_tag_623,-0.04
severity_code_I,deficiency_tag_684,0.04
severity_code_L,mds_quality_code_415,-0.04
quality_rating_4,deficiency_tag_698,-0.04
provider_medicare,Total Number of Penalties,-0.04
severity_code_L,deficiency_tag_732,0.04
Rating Cycle 1 Health Revisit Score,deficiency_tag_806,0.04
deficiency_tag_803,mds_quality_code_407,-0.04
health_inspection_rating_2,Number of administrators who have left the nursing home,0.04
short_stay_quality_rating_1,Rating Cycle 2 Number of Health Revisits,0.04
provider_medicare,deficiency_tag_658,-0.04
quality_rating_4,deficiency_tag_623,-0.04
severity_code_B,Rating Cycle 2 Health Deficiency Score,0.04
mds_quality_code_419,long_stay_quality_rating_3,0.04
ownership_government_state,health_inspection_rating_5,0.04
short_stay_quality_rating_1,special_focus_status_sff_candidate,0.04
deficiency_tag_657,special_focus_status_sff,0.04
claims_quality_code_552,deficiency_tag_578,0.04
Rating Cycle 2 Total Health Score,ownership_non_profit_church,-0.04
provider_medicare,Number of administrators who have left the nursing home,-0.04
mds_quality_code_410,severity_code_E,-0.04
deficiency_tag_803,claims_quality_code_552,0.04
severity_code_K,quality_rating_1,0.04
deficiency_tag_732,mds_quality_code_415,-0.04
ownership_government_state,mds_quality_code_407,0.04
council_resident_and_family,Rating Cycle 2 Health Deficiency Score,-0.04
short_stay_quality_rating_1,mds_quality_code_451,0.04
short_stay_quality_rating_1,Rating Cycle 3 Number of Standard Health Deficiencies,0.04
quality_rating_1,abuse_icon,0.04
deficiency_tag_600,mds_quality_code_406,-0.04
mds_quality_code_410,deficiency_tag_761,-0.04
claims_quality_code_551,ownership_for_profit_individual,0.04
provider_medicare_and_medicaid,deficiency_tag_803,0.04
health_inspection_rating_4,special_focus_status_sff,-0.04
quality_rating_3,severity_code_E,0.04
deficiency_tag_726,claims_quality_code_552,0.04
continuing_care_retirement_community,short_stay_quality_rating_2,-0.04
deficiency_tag_679,mds_quality_code_408,0.04
Number of Substantiated Complaints,claims_quality_code_552,0.04
ownership_government_hospital_district,deficiency_tag_725,-0.04
Rating Cycle 1 Health Deficiency Score,ownership_non_profit_other,-0.04
deficiency_tag_644,deficiency_tag_700,0.04
deficiency_tag_803,mds_quality_code_434,0.04
severity_code_K,claims_quality_code_522,0.04
quality_rating_3,special_focus_status_sff,-0.04
mds_quality_code_430,ownership_for_profit_llc,-0.04
most_recent_health_inspection_2plus_years_ago,severity_code_C,0.04
claims_quality_code_521,deficiency_tag_609,0.04
deficiency_tag_756,abuse_icon,0.04
mds_quality_code_434,deficiency_tag_657,0.04
mds_quality_code_401,Rating Cycle 3 Total Health Score,-0.04
dollars_per_fine_count,short_stay_quality_rating_2,0.04
health_inspection_rating_3,deficiency_tag_867,-0.04
claims_quality_code_552,special_focus_status_sff_candidate,0.04
claims_quality_code_552,special_focus_status_sff,0.04
deficiency_tag_803,claims_quality_code_522,0.04
mds_quality_code_452,deficiency_tag_580,0.04
provider_medicare,deficiency_tag_925,-0.04
severity_code_K,ownership_for_profit_partnership,0.04
health_inspection_rating_2,deficiency_tag_561,0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_609,-0.04
Rating Cycle 1 Number of Health Revisits,ownership_non_profit_other,-0.04
quality_rating_2,deficiency_tag_610,0.04
claims_quality_code_552,severity_code_D,0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_644,-0.04
claims_quality_code_522,deficiency_tag_578,0.04
Rating Cycle 1 Health Revisit Score,ownership_non_profit_corporation,-0.04
mds_quality_code_407,deficiency_tag_692,-0.04
abuse_icon,deficiency_tag_636,0.04
provider_medicare_and_medicaid,deficiency_tag_867,0.04
deficiency_tag_919,deficiency_tag_867,0.04
continuing_care_retirement_community,deficiency_tag_725,-0.04
claims_quality_code_521,provider_medicaid,-0.04
Rating Cycle 3 Health Deficiency Score,mds_quality_code_451,-0.04
deficiency_tag_726,ownership_non_profit_corporation,-0.04
ownership_non_profit_church,short_stay_quality_rating_1,-0.04
provider_resides_in_hospital,deficiency_tag_657,-0.04
most_recent_health_inspection_2plus_years_ago,mds_quality_code_408,0.04
deficiency_tag_582,special_focus_status_sff_candidate,0.04
mds_quality_code_406,long_stay_quality_rating_3,0.04
mds_quality_code_404,Total Number of Penalties,0.04
claims_quality_code_551,deficiency_tag_550,0.04
health_inspection_rating_4,council_family,0.04
Rating Cycle 2 Health Revisit Score,claims_quality_code_552,0.04
quality_rating_1,deficiency_tag_645,0.04
short_stay_quality_rating_1,Rating Cycle 1 Number of Standard Health Deficiencies,0.04
Rating Cycle 2 Health Revisit Score,mds_quality_code_452,0.04
abuse_icon,deficiency_tag_676,0.04
ownership_non_profit_church,mds_quality_code_452,-0.04
Rating Cycle 3 Number of Complaint Health Deficiencies,mds_quality_code_479,0.04
months_since_approval,most_recent_health_inspection_2plus_years_ago,0.04
mds_quality_code_410,deficiency_tag_676,-0.04
short_stay_quality_rating_5,mds_quality_code_408,-0.04
deficiency_tag_582,quality_rating_3,0.04
provider_resides_in_hospital,Rating Cycle 3 Number of Health Revisits,-0.04
severity_code_J,short_stay_quality_rating_4,-0.04
deficiency_tag_883,quality_rating_2,0.04
ownership_non_profit_church,Rating Cycle 1 Number of Complaint Health Deficiencies,-0.04
long_stay_quality_rating_5,deficiency_tag_812,-0.04
Rating Cycle 2 Health Revisit Score,deficiency_tag_700,0.04
deficiency_tag_550,mds_quality_code_404,0.04
severity_code_L,Rating Cycle 3 Number of Health Revisits,0.04
short_stay_quality_rating_5,deficiency_tag_732,-0.04
provider_medicare_and_medicaid,abuse_icon,0.04
claims_quality_code_551,ownership_for_profit_corporation,0.04
months_since_approval,deficiency_tag_684,0.04
ownership_non_profit_church,Rating Cycle 2 Number of Standard Health Deficiencies,-0.04
deficiency_tag_804,mds_quality_code_406,-0.04
quality_rating_3,deficiency_tag_658,0.04
ownership_government_county,deficiency_tag_759,-0.04
mds_quality_code_407,deficiency_tag_688,-0.04
deficiency_tag_804,ownership_non_profit_other,-0.04
deficiency_tag_585,continuing_care_retirement_community,-0.04
deficiency_tag_880,quality_rating_2,0.04
claims_quality_code_551,provider_medicaid,-0.04
Rating Cycle 2 Number of Standard Health Deficiencies,ownership_government_city,-0.04
mds_quality_code_404,mds_quality_code_434,0.04
council_resident_and_family,deficiency_tag_578,-0.04
deficiency_tag_625,deficiency_tag_604,0.04
ownership_non_profit_corporation,deficiency_tag_881,-0.04
ownership_government_state,severity_code_E,-0.04
dollars_per_fine_count,ownership_non_profit_other,-0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_558,-0.04
ownership_non_profit_church,Number of Substantiated Complaints,-0.04
mds_quality_code_454,quality_rating_4,0.04
quality_rating_2,deficiency_tag_607,0.04
deficiency_tag_583,Number of Fines,0.04
council_resident,deficiency_tag_756,0.04
deficiency_tag_695,ownership_non_profit_other,-0.04
severity_code_L,deficiency_tag_645,0.04
mds_quality_code_410,ownership_non_profit_other,0.04
mds_quality_code_452,mds_quality_code_430,-0.04
quality_rating_2,Rating Cycle 2 Health Deficiency Score,0.04
council_resident,provider_changed_ownership_last_12_months,-0.04
short_stay_quality_rating_1,deficiency_tag_657,0.04
mds_quality_code_419,deficiency_tag_693,-0.04
health_inspection_rating_3,deficiency_tag_759,-0.04
deficiency_tag_757,Total Number of Penalties,0.04
ownership_non_profit_church,deficiency_tag_759,-0.04
ownership_for_profit_corporation,health_inspection_rating_2,0.04
Number of Citations from Infection Control Inspections,short_stay_quality_rating_2,0.04
ownership_for_profit_corporation,claims_quality_code_522,0.04
special_focus_status_sff_candidate,deficiency_tag_636,0.04
health_inspection_rating_3,special_focus_status_sff,-0.04
provider_medicare_and_medicaid,mds_quality_code_479,0.04
claims_quality_code_552,deficiency_tag_636,0.04
severity_code_B,deficiency_tag_677,0.04
deficiency_tag_908,ownership_government_county,-0.04
short_stay_quality_rating_5,deficiency_tag_585,-0.04
mds_quality_code_454,ownership_government_county,0.04
mds_quality_code_404,deficiency_tag_756,0.04
council_resident_and_family,Rating Cycle 3 Total Health Score,-0.04
claims_quality_code_551,mds_quality_code_430,-0.04
quality_rating_1,deficiency_tag_580,0.04
quality_rating_1,deficiency_tag_686,0.04
deficiency_tag_695,quality_rating_3,0.04
deficiency_tag_580,ownership_non_profit_other,-0.04
ownership_for_profit_corporation,deficiency_tag_761,0.04
Rating Cycle 3 Total Number of Health Deficiencies,mds_quality_code_479,0.04
mds_quality_code_406,deficiency_tag_684,-0.04
provider_medicare_and_medicaid,deficiency_tag_919,0.04
deficiency_tag_814,deficiency_tag_679,0.04
ownership_government_state,short_stay_quality_rating_3,-0.04
claims_quality_code_521,abuse_icon,0.04
short_stay_quality_rating_4,deficiency_tag_688,-0.04
ownership_government_hospital_district,deficiency_tag_623,-0.04
claims_quality_code_551,Rating Cycle 3 Health Revisit Score,0.04
long_stay_quality_rating_5,Rating Cycle 1 Health Deficiency Score,-0.04
severity_code_K,deficiency_tag_688,0.04
long_stay_quality_rating_5,provider_changed_ownership_last_12_months,-0.04
severity_code_H,claims_quality_code_521,-0.04
deficiency_tag_883,health_inspection_rating_2,0.04
severity_code_K,provider_medicare_and_medicaid,0.04
provider_medicaid,Rating Cycle 1 Total Number of Health Deficiencies,-0.04
claims_quality_code_552,Rating Cycle 1 Number of Complaint Health Deficiencies,0.04
claims_quality_code_521,deficiency_tag_658,0.04
long_stay_quality_rating_5,deficiency_tag_727,-0.04
severity_code_F,ownership_for_profit_llc,0.04
deficiency_tag_695,provider_medicare,-0.04
provider_resides_in_hospital,deficiency_tag_697,-0.04
Rating Cycle 1 Number of Health Revisits,long_stay_quality_rating_1,0.04
Number of Fines,provider_changed_ownership_last_12_months,0.04
long_stay_quality_rating_2,ownership_non_profit_corporation,0.04
short_stay_quality_rating_2,Rating Cycle 3 Number of Health Revisits,0.04
severity_code_I,deficiency_tag_655,0.04
provider_medicaid,deficiency_tag_554,-0.04
ownership_for_profit_llc,mds_quality_code_472,-0.04
deficiency_tag_656,health_inspection_rating_3,-0.04
deficiency_tag_881,sprinklers_in_required_areas,-0.04
council_resident_and_family,deficiency_tag_610,-0.04
deficiency_tag_583,special_focus_status_sff_candidate,0.04
short_stay_quality_rating_4,severity_code_G,-0.04
mds_quality_code_404,long_stay_quality_rating_2,0.04
long_stay_quality_rating_5,Rating Cycle 1 Total Health Score,-0.04
deficiency_tag_641,provider_medicaid,-0.04
ownership_non_profit_church,deficiency_tag_842,-0.04
ownership_government_city,ownership_for_profit_llc,-0.04
ownership_government_city_county,ownership_for_profit_llc,-0.04
council_resident,deficiency_tag_609,0.04
severity_code_C,deficiency_tag_806,0.04
mds_quality_code_401,ownership_non_profit_other,0.04
mds_quality_code_406,deficiency_tag_561,-0.04
continuing_care_retirement_community,deficiency_tag_842,-0.04
council_resident_and_family,Rating Cycle 2 Number of Complaint Health Deficiencies,-0.04
mds_quality_code_479,health_inspection_rating_5,-0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_688,-0.04
provider_medicare,deficiency_tag_676,-0.04
severity_code_I,Rating Cycle 2 Total Number of Health Deficiencies,0.04
ownership_for_profit_individual,mds_quality_code_472,-0.04
deficiency_tag_695,health_inspection_rating_2,0.04
long_stay_quality_rating_5,deficiency_tag_609,-0.04
mds_quality_code_407,mds_quality_code_415,0.04
deficiency_tag_610,long_stay_quality_rating_1,0.04
severity_code_L,deficiency_tag_578,0.04
deficiency_tag_755,claims_quality_code_552,0.04
severity_code_K,deficiency_tag_698,0.04
quality_rating_2,deficiency_tag_609,0.04
mds_quality_code_434,severity_code_L,0.04
council_resident_and_family,sprinklers_in_required_areas,-0.04
Rating Cycle 2 Total Health Score,quality_rating_2,0.04
long_stay_quality_rating_5,deficiency_tag_580,-0.04
special_focus_status_sff,deficiency_tag_688,0.04
long_stay_quality_rating_5,provider_medicare_and_medicaid,0.04
deficiency_tag_689,ownership_non_profit_other,-0.04
quality_rating_2,severity_code_C,0.04
long_stay_quality_rating_1,claims_quality_code_521,0.04
mds_quality_code_407,deficiency_tag_758,0.04
Rating Cycle 2 Total Health Score,council_resident_and_family,-0.04
special_focus_status_sff,deficiency_tag_758,0.04
Number of Fines,short_stay_quality_rating_4,-0.04
ownership_for_profit_corporation,Number of Payment Denials,0.04
council_resident,Rating Cycle 1 Number of Health Revisits,0.04
special_focus_status_sff_candidate,mds_quality_code_407,-0.04
mds_quality_code_404,health_inspection_rating_4,-0.04
deficiency_tag_625,quality_rating_3,0.04
deficiency_tag_558,mds_quality_code_451,-0.04
short_stay_quality_rating_1,deficiency_tag_641,0.04
long_stay_quality_rating_5,short_stay_quality_rating_4,0.04
ownership_government_state,deficiency_tag_695,-0.04
mds_quality_code_415,deficiency_tag_604,-0.04
quality_rating_3,Rating Cycle 1 Number of Standard Health Deficiencies,0.04
ownership_for_profit_llc,deficiency_tag_684,0.04
severity_code_K,mds_quality_code_401,0.04
Rating Cycle 3 Total Number of Health Deficiencies,ownership_government_state,-0.04
short_stay_quality_rating_4,deficiency_tag_636,-0.04
abuse_icon,ownership_non_profit_other,-0.04
months_since_approval,deficiency_tag_610,0.04
deficiency_tag_726,ownership_for_profit_llc,0.04
deficiency_tag_804,council_resident,0.04
deficiency_tag_757,long_stay_quality_rating_5,0.04
deficiency_tag_726,mds_quality_code_407,-0.04
Rating Cycle 2 Number of Health Revisits,short_stay_quality_rating_4,-0.04
Number of Citations from Infection Control Inspections,claims_quality_code_521,0.04
long_stay_quality_rating_4,special_focus_status_sff,-0.04
ownership_government_state,Rating Cycle 1 Health Deficiency Score,-0.04
ownership_government_county,short_stay_quality_rating_3,-0.04
short_stay_quality_rating_1,deficiency_tag_842,0.04
quality_rating_1,deficiency_tag_880,0.04
months_since_approval,deficiency_tag_692,0.04
mds_quality_code_454,ownership_for_profit_corporation,-0.04
severity_code_I,deficiency_tag_697,0.04
provider_medicare,quality_rating_3,-0.04
quality_rating_4,deficiency_tag_690,-0.04
Number of Substantiated Complaints,mds_quality_code_452,-0.04
ownership_government_state,deficiency_tag_732,-0.04
deficiency_tag_580,long_stay_quality_rating_1,0.04
deficiency_tag_636,deficiency_tag_676,0.04
council_resident,ownership_non_profit_corporation,-0.04
council_resident_and_family,Rating Cycle 2 Number of Standard Health Deficiencies,-0.04
mds_quality_code_401,Rating Cycle 1 Number of Complaint Health Deficiencies,-0.04
mds_quality_code_404,claims_quality_code_522,0.04
deficiency_tag_727,short_stay_quality_rating_3,-0.04
deficiency_tag_697,mds_quality_code_410,-0.04
provider_medicare,deficiency_tag_842,-0.04
severity_code_L,deficiency_tag_759,0.04
mds_quality_code_410,deficiency_tag_806,-0.04
quality_rating_4,dollars_per_fine_count,-0.04
deficiency_tag_726,deficiency_tag_644,0.04
claims_quality_code_551,ownership_government_city,-0.04
claims_quality_code_521,deficiency_tag_698,0.04
Rating Cycle 2 Total Number of Health Deficiencies,quality_rating_3,0.04
long_stay_quality_rating_5,health_inspection_rating_5,0.04
ownership_non_profit_corporation,deficiency_tag_623,-0.04
mds_quality_code_479,Rating Cycle 2 Health Deficiency Score,0.04
quality_rating_3,deficiency_tag_623,0.04
mds_quality_code_454,deficiency_tag_679,-0.04
quality_rating_4,Total Number of Penalties,-0.04
health_inspection_rating_2,deficiency_tag_578,0.04
severity_code_F,ownership_for_profit_individual,0.04
mds_quality_code_419,mds_quality_code_408,0.04
short_stay_quality_rating_4,abuse_icon,-0.04
Rating Cycle 3 Health Deficiency Score,council_resident_and_family,-0.04
months_since_approval,ownership_for_profit_corporation,0.04
long_stay_quality_rating_1,Rating Cycle 1 Number of Complaint Health Deficiencies,0.04
Rating Cycle 2 Number of Standard Health Deficiencies,claims_quality_code_522,0.04
ownership_government_county,mds_quality_code_407,0.04
deficiency_tag_757,mds_quality_code_408,0.04
severity_code_H,Rating Cycle 1 Number of Health Revisits,0.04
short_stay_quality_rating_5,deficiency_tag_582,-0.04
deficiency_tag_804,mds_quality_code_434,0.04
council_resident,deficiency_tag_641,0.04
mds_quality_code_404,Rating Cycle 1 Total Number of Health Deficiencies,0.04
mds_quality_code_454,deficiency_tag_867,-0.04
deficiency_tag_812,ownership_non_profit_other,-0.04
council_resident,mds_quality_code_472,-0.04
Number of Substantiated Complaints,claims_quality_code_522,0.04
ownership_for_profit_partnership,deficiency_tag_842,0.04
deficiency_tag_921,deficiency_tag_700,0.04
deficiency_tag_919,claims_quality_code_521,0.04
Rating Cycle 2 Total Number of Health Deficiencies,quality_rating_2,0.04
special_focus_status_sff_candidate,ownership_for_profit_individual,0.04
mds_quality_code_479,deficiency_tag_655,0.04
Rating Cycle 2 Number of Complaint Health Deficiencies,mds_quality_code_451,-0.04
Rating Cycle 3 Health Deficiency Score,ownership_government_county,-0.04
most_recent_health_inspection_2plus_years_ago,deficiency_tag_578,-0.04
provider_resides_in_hospital,claims_quality_code_521,-0.04
provider_medicaid,Number of administrators who have left the nursing home,-0.04
quality_rating_1,deficiency_tag_625,0.04
short_stay_quality_rating_1,deficiency_tag_725,0.04
mds_quality_code_419,Rating Cycle 3 Number of Complaint Health Deficiencies,0.04
severity_code_H,severity_code_L,0.04
quality_rating_4,mds_quality_code_404,-0.04
provider_changed_ownership_last_12_months,deficiency_tag_867,0.04
continuing_care_retirement_community,deficiency_tag_644,-0.04
continuing_care_retirement_community,deficiency_tag_658,-0.04
continuing_care_retirement_community,deficiency_tag_636,-0.04
Rating Cycle 2 Number of Standard Health Deficiencies,short_stay_quality_rating_1,0.04
continuing_care_retirement_community,Total Number of Penalties,-0.04
deficiency_tag_550,quality_rating_3,0.04
deficiency_tag_919,short_stay_quality_rating_4,-0.04
Rating Cycle 3 Health Deficiency Score,quality_rating_4,-0.04
mds_quality_code_430,ownership_for_profit_individual,-0.04
council_resident_and_family,mds_quality_code_452,-0.04
deficiency_tag_644,ownership_government_hospital_district,0.04
quality_rating_3,Number of administrators who have left the nursing home,0.04
quality_rating_1,Rating Cycle 1 Number of Health Revisits,0.04
health_inspection_rating_3,deficiency_tag_623,-0.04
health_inspection_rating_2,deficiency_tag_697,0.04
provider_resides_in_hospital,deficiency_tag_641,-0.04
ownership_for_profit_corporation,deficiency_tag_578,0.04
mds_quality_code_410,ownership_government_federal,0.04
deficiency_tag_908,deficiency_tag_644,0.04
months_since_approval,claims_quality_code_521,-0.04
quality_rating_2,Number of Fines,0.04
mds_quality_code_404,Rating Cycle 1 Number of Standard Health Deficiencies,0.04
short_stay_quality_rating_4,deficiency_tag_725,-0.04
short_stay_quality_rating_1,deficiency_tag_607,0.04
Rating Cycle 3 Total Number of Health Deficiencies,ownership_government_hospital_district,-0.04
deficiency_tag_677,mds_quality_code_401,-0.04
severity_code_L,mds_quality_code_430,-0.04
mds_quality_code_452,Rating Cycle 1 Number of Complaint Health Deficiencies,-0.04
ownership_for_profit_corporation,deficiency_tag_919,0.04
deficiency_tag_755,claims_quality_code_522,0.04
deficiency_tag_883,claims_quality_code_522,0.04
Rating Cycle 3 Number of Complaint Health Deficiencies,mds_quality_code_451,-0.04
mds_quality_code_404,Number of Fines,0.04
council_resident_and_family,deficiency_tag_558,-0.04
short_stay_quality_rating_3,mds_quality_code_430,0.04
Total Amount of Fines in Dollars,long_stay_quality_rating_1,0.04
Rating Cycle 1 Total Health Score,ownership_non_profit_other,-0.04
Rating Cycle 3 Number of Complaint Health Deficiencies,provider_medicaid,-0.04
severity_code_K,health_inspection_rating_2,-0.04
severity_code_I,deficiency_tag_690,0.04
mds_quality_code_452,Rating Cycle 1 Number of Standard Health Deficiencies,-0.04
mds_quality_code_454,special_focus_status_sff,-0.04
mds_quality_code_401,deficiency_tag_806,-0.04
months_since_approval,mds_quality_code_407,-0.04
mds_quality_code_410,quality_rating_3,0.04
provider_medicaid,deficiency_tag_679,-0.04
deficiency_tag_695,severity_code_L,0.04
severity_code_H,Rating Cycle 2 Number of Health Revisits,0.04
ownership_government_state,Rating Cycle 3 Number of Complaint Health Deficiencies,-0.04
mds_quality_code_452,Rating Cycle 3 Number of Standard Health Deficiencies,-0.04
quality_rating_2,Rating Cycle 3 Number of Health Revisits,0.04
quality_rating_2,deficiency_tag_584,0.04
deficiency_tag_679,claims_quality_code_522,0.04
special_focus_status_sff,health_inspection_rating_1,-0.04
council_resident,deficiency_tag_727,0.04
deficiency_tag_761,ownership_non_profit_other,-0.04
Rating Cycle 2 Number of Standard Health Deficiencies,claims_quality_code_521,0.04
quality_rating_2,deficiency_tag_688,0.04
Rating Cycle 2 Health Revisit Score,health_inspection_rating_2,-0.04
quality_rating_1,severity_code_J,0.04
severity_code_B,council_family,0.04
council_resident,deficiency_tag_656,0.04
ownership_government_state,deficiency_tag_686,-0.04
quality_rating_4,severity_code_C,-0.04
provider_medicare,deficiency_tag_919,-0.04
ownership_government_state,short_stay_quality_rating_4,-0.04
mds_quality_code_401,deficiency_tag_688,-0.04
deficiency_tag_804,mds_quality_code_480,0.04
severity_code_H,ownership_government_hospital_district,0.04
quality_rating_2,deficiency_tag_925,0.04
deficiency_tag_658,short_stay_quality_rating_2,0.04
health_inspection_rating_2,deficiency_tag_583,0.04
deficiency_tag_582,Rating Cycle 3 Health Revisit Score,0.04
deficiency_tag_883,severity_code_L,0.04
short_stay_quality_rating_5,ownership_for_profit_llc,-0.04
mds_quality_code_454,mds_quality_code_451,-0.04
ownership_government_county,Rating Cycle 2 Health Deficiency Score,-0.04
mds_quality_code_406,deficiency_tag_759,-0.04
deficiency_tag_812,provider_medicaid,-0.04
Rating Cycle 2 Number of Health Revisits,quality_rating_3,0.04
deficiency_tag_908,abuse_icon,0.04
ownership_for_profit_partnership,ownership_for_profit_individual,-0.04
deficiency_tag_880,provider_changed_ownership_last_12_months,0.04
deficiency_tag_880,mds_quality_code_479,0.04
severity_code_B,health_inspection_rating_4,-0.04
deficiency_tag_607,deficiency_tag_604,0.04
ownership_government_city,deficiency_tag_812,-0.04
quality_rating_4,Rating Cycle 3 Total Health Score,-0.04
health_inspection_rating_3,claims_quality_code_522,-0.04
ownership_for_profit_partnership,long_stay_quality_rating_4,0.04
council_resident_and_family,Number of Substantiated Complaints,-0.04
deficiency_tag_757,Total Amount of Fines in Dollars,0.04
ownership_for_profit_corporation,Number of administrators who have left the nursing home,0.04
ownership_government_county,ownership_for_profit_individual,-0.04
deficiency_tag_755,quality_rating_5,-0.04
provider_medicare_and_medicaid,deficiency_tag_676,0.04
severity_code_I,Rating Cycle 2 Number of Complaint Health Deficiencies,0.04
deficiency_tag_804,ownership_for_profit_corporation,0.04
council_resident_and_family,deficiency_tag_684,-0.04
deficiency_tag_677,ownership_government_city,-0.04
claims_quality_code_552,mds_quality_code_479,0.04
severity_code_F,mds_quality_code_452,0.04
quality_rating_4,mds_quality_code_406,-0.04
deficiency_tag_921,deficiency_tag_604,0.04
provider_resides_in_hospital,deficiency_tag_921,-0.04
claims_quality_code_551,deficiency_tag_657,-0.04
continuing_care_retirement_community,claims_quality_code_521,-0.04
deficiency_tag_757,mds_quality_code_480,0.04
continuing_care_retirement_community,deficiency_tag_690,-0.04
council_resident_and_family,claims_quality_code_522,-0.04
most_recent_health_inspection_2plus_years_ago,quality_rating_5,0.04
deficiency_tag_585,short_stay_quality_rating_3,0.04
continuing_care_retirement_community,provider_medicaid,-0.04
health_inspection_rating_4,short_stay_quality_rating_2,-0.04
severity_code_K,provider_resides_in_hospital,-0.04
ownership_for_profit_corporation,deficiency_tag_814,0.04
claims_quality_code_552,deficiency_tag_657,0.04
severity_code_K,mds_quality_code_415,-0.04
deficiency_tag_583,Number of administrators who have left the nursing home,0.04
quality_rating_1,deficiency_tag_610,0.04
